MAKE,Fuel-type,,,Body-Style,,,,,,,Curb-weight,,num-of-cylinder,,,,,,Housepower,,City-MPG,Highway-Mpg,Price
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13496
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13497
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13498
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13499
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13500
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13501
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13502
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13503
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13504
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13505
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13506
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13507
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13508
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13509
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13510
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13511
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13512
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13513
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13514
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13515
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13516
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13517
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13518
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13519
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13520
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13521
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13522
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13523
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13524
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13525
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13526
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13527
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13528
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13529
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13530
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13531
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13532
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13533
alfa-romero,gas,,,convertible,,,,,,,2548,,four,,,,,,111,,21,27,13534
